BrandDirty,ModelDirty,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Brand,Model
Lightyear ,One ,10,150,575,104,540,Yes,AWD,Type 2 CCS,Liftback,F,5,149000,LIGHTYEAR ,ONE 
Aiways ,U5 ,9,150,335,188,350,Yes,FWD,Type 2 CCS,SUV,C,5,36057,AIWAYS ,U5 
Audi ,e-tron 55 quattro,5.7,200,365,237,590,Yes,AWD,Type 2 CCS,SUV,E,5,79445,AUDI ,E-TRON 55 QUATTRO
Tesla ,Roadster ,2.1,410,970,206,920,Yes,AWD,Type 2 CCS,Cabrio,S,4,215000,TESLA ,ROADSTER 
Opel ,Mokka-e ,8.5,150,255,176,390,Yes,FWD,Type 2 CCS,SUV,B,5,35000,OPEL ,MOKKA-E 
Skoda ,Enyaq iV 80,8.8,160,420,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,40000,SKODA ,ENYAQ IV 80
Tesla ,Model X Long Range,4.6,250,450,211,490,Yes,AWD,Type 2,SUV,F,7,85990,TESLA ,MODEL X LONG RANGE
Honda ,e Advance,8.3,145,170,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,35921,HONDA ,E ADVANCE
DS ,3 Crossback E-Tense,8.7,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,37422,DS ,3 CROSSBACK E-TENSE
Renault ,Twingo ZE,12.6,135,130,164,-,No,RWD,Type 2,Hatchback,A,4,24790,RENAULT ,TWINGO ZE
Citroen ,e-C4 ,9.7,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,C,5,40000,CITROEN ,E-C4 
Tesla ,Model S Performance,2.5,261,505,188,550,Yes,AWD,Type 2,Liftback,F,5,96990,TESLA ,MODEL S PERFORMANCE
Renault ,Zoe ZE40 R110,11.4,135,255,161,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,29234,RENAULT ,ZOE ZE40 R110
Tesla ,Model Y Long Range Performance,3.7,241,410,177,900,Yes,AWD,Type 2 CCS,SUV,D,7,65620,TESLA ,MODEL Y LONG RANGE PERFORMANCE
Nissan ,Ariya 87kWh,7.6,160,440,198,520,Yes,FWD,Type 2 CCS,Hatchback,C,5,50000,NISSAN ,ARIYA 87KWH
Jaguar ,I-Pace ,4.8,200,365,232,340,Yes,AWD,Type 2 CCS,SUV,E,5,75351,JAGUAR ,I-PACE 
Ford ,Mustang Mach-E ER RWD,7,180,450,200,430,Yes,RWD,Type 2 CCS,SUV,D,5,54475,FORD ,MUSTANG MACH-E ER RWD
Porsche ,Taycan 4S Plus,4,250,425,197,890,Yes,AWD,Type 2 CCS,Sedan,F,4,109302,PORSCHE ,TAYCAN 4S PLUS
Nissan ,e-NV200 Evalia ,14,123,190,200,190,Yes,FWD,Type 1 CHAdeMO,SPV,N,7,33246,NISSAN ,E-NV200 EVALIA 
Tesla ,Cybertruck Dual Motor,5,190,460,261,710,Yes,AWD,Type 2 CCS,Pickup,N,6,55000,TESLA ,CYBERTRUCK DUAL MOTOR
Renault ,Kangoo Maxi ZE 33,22.4,130,160,194,-,No,FWD,Type 2,SPV,N,5,38000,RENAULT ,KANGOO MAXI ZE 33
Ford ,Mustang Mach-E ER AWD,6,180,430,209,410,Yes,AWD,Type 2 CCS,SUV,D,5,62900,FORD ,MUSTANG MACH-E ER AWD
BMW ,i3s 120 Ah,6.9,160,230,165,260,Yes,RWD,Type 2 CCS,Hatchback,B,4,41526,BMW ,I3S 120 AH
Skoda ,Enyaq iV 80X,7,160,400,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,45000,SKODA ,ENYAQ IV 80X
Porsche ,Taycan Cross Turismo ,3.5,250,385,217,770,Yes,AWD,Type 2 CCS,Station,F,4,150000,PORSCHE ,TAYCAN CROSS TURISMO 
Byton ,M-Byte 95 kWh 4WD,5.5,190,390,244,460,Yes,AWD,Type 2 CCS,SUV,E,5,64000,BYTON ,M-BYTE 95 KWH 4WD
Sono ,Sion ,9,140,225,156,270,Yes,FWD,Type 2 CCS,Hatchback,C,5,25500,SONO ,SION 
Kia ,e-Niro 39 kWh,9.8,155,235,167,230,Yes,FWD,Type 2 CCS,SUV,C,5,34400,KIA ,E-NIRO 39 KWH
Audi ,Q4 Sportback e-tron ,6.3,180,410,188,550,Yes,AWD,Type 2 CCS,SUV,D,5,57500,AUDI ,Q4 SPORTBACK E-TRON 
Smart ,EQ forfour ,12.7,130,95,176,-,No,RWD,Type 2,Hatchback,A,4,22030,SMART ,EQ FORFOUR 
Ford ,Mustang Mach-E SR AWD,6,180,340,206,360,Yes,AWD,Type 2 CCS,SUV,D,5,54000,FORD ,MUSTANG MACH-E SR AWD
Porsche ,Taycan Turbo,3.2,260,390,215,810,Yes,AWD,Type 2 CCS,Sedan,F,4,148301,PORSCHE ,TAYCAN TURBO
Volkswagen ,ID.3 1st,7.3,160,340,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987,VOLKSWAGEN ,ID.3 1ST
Tesla ,Model X Performance,2.8,250,440,216,480,Yes,AWD,Type 2,SUV,F,7,102990,TESLA ,MODEL X PERFORMANCE
Smart ,EQ fortwo coupe,11.6,130,100,167,-,No,RWD,Type 2,Hatchback,A,2,21387,SMART ,EQ FORTWO COUPE
Ford ,Mustang Mach-E SR RWD,6.6,180,360,194,380,Yes,RWD,Type 2 CCS,SUV,D,5,46900,FORD ,MUSTANG MACH-E SR RWD
Mercedes ,EQV 300 Long,10,140,330,273,290,Yes,FWD,Type 2 CCS,SPV,N,7,70631,MERCEDES ,EQV 300 LONG
Fiat ,500e Hatchback,9,150,250,168,330,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900,FIAT ,500E HATCHBACK
Tesla ,Cybertruck Single Motor,7,180,390,256,740,Yes,RWD,Type 2 CCS,Pickup,N,6,45000,TESLA ,CYBERTRUCK SINGLE MOTOR
Audi ,e-tron Sportback 50 quattro,6.8,190,295,219,470,Yes,AWD,Type 2 CCS,SUV,E,5,69551,AUDI ,E-TRON SPORTBACK 50 QUATTRO
Skoda ,Enyaq iV vRS,6.2,180,400,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,47500,SKODA ,ENYAQ IV VRS
Skoda ,Enyaq iV 60,9,160,320,181,440,Yes,RWD,Type 2 CCS,SUV,C,5,37500,SKODA ,ENYAQ IV 60
Audi ,e-tron S 55 quattro,4.5,210,320,270,510,Yes,AWD,Type 2 CCS,SUV,E,5,93800,AUDI ,E-TRON S 55 QUATTRO
Smart ,EQ fortwo cabrio,11.9,130,95,176,-,No,RWD,Type 2,Cabrio,A,2,24565,SMART ,EQ FORTWO CABRIO
Kia ,e-Soul 64 kWh,7.9,167,365,175,320,Yes,FWD,Type 2 CCS,SUV,B,5,36837,KIA ,E-SOUL 64 KWH
Nissan ,Ariya e-4ORCE 87kWh,5.7,200,420,207,500,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500,NISSAN ,ARIYA E-4ORCE 87KWH
Fiat ,500e Convertible,9,150,250,168,330,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900,FIAT ,500E CONVERTIBLE
Volkswagen ,ID.3 Pro Performance,7.3,160,340,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575,VOLKSWAGEN ,ID.3 PRO PERFORMANCE
Kia ,e-Soul 39 kWh,9.9,157,230,170,220,Yes,FWD,Type 2 CCS,SUV,B,5,33133,KIA ,E-SOUL 39 KWH
Byton ,M-Byte 72 kWh 2WD,7.5,190,325,222,420,Yes,RWD,Type 2 CCS,SUV,E,5,53500,BYTON ,M-BYTE 72 KWH 2WD
Nissan ,Ariya 63kWh,7.5,160,330,191,440,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000,NISSAN ,ARIYA 63KWH
Audi ,e-tron S Sportback 55 quattro,4.5,210,335,258,540,Yes,AWD,Type 2 CCS,SUV,E,5,96050,AUDI ,E-TRON S SPORTBACK 55 QUATTRO
Nissan ,Ariya e-4ORCE 63kWh,5.9,200,325,194,440,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000,NISSAN ,ARIYA E-4ORCE 63KWH
Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,375,232,450,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000,NISSAN ,ARIYA E-4ORCE 87KWH PERFORMANCE
Byton ,M-Byte 95 kWh 2WD,7.5,190,400,238,480,Yes,AWD,Type 2 CCS,SUV,E,5,62000,BYTON ,M-BYTE 95 KWH 2WD
